M̩tier,python,sql,scala,ml,dl,stats,mlops,data_engineering,genai
Data Analyst,4,5,1,3,1,4,2,2,1
Data Scientist,4,4,2,5,3,5,3,3,1
Machine Learning Engineer,5,3,3,5,4,4,5,3,1
AI Engineer,5,2,2,4,5,3,4,2,1
NLP Engineer,4,2,2,3,5,3,3,2,1
Computer Vision Engineer,4,2,2,3,5,3,3,2,1
Data Engineer,4,5,4,2,2,2,4,5,0
BigData Engineer,4,5,5,2,2,2,4,5,0
Analytics Engineer,4,5,2,2,2,3,3,4,1
BI Developer,3,5,1,1,1,2,1,3,0
Statisticien,3,3,1,4,1,5,1,1,0
Quantitative Analyst,4,4,2,4,2,5,2,2,1
MLOps Engineer,4,3,3,3,3,3,5,4,1
Data Architect,4,5,3,2,2,2,3,5,0
AI Product Manager,3,2,1,3,2,3,2,2,1